@relation candor

@attribute Equipment_Cost__c numeric
@attribute Term__c numeric
@attribute Payment_Freq__c {Monthly,Quarterly}
@attribute Grade__c {KO,C,F,E,G,A,D,B,N/A}
@attribute ROI1__c numeric

@data
2420.69,60,Quarterly,A,16.79
7600,60,Monthly,E,17.57
750,24,Monthly,G,32.83
3497.65,24,Monthly,KO,25.46
11583.88,60,Quarterly,A,11.54
3000,36,Quarterly,F,32.05
12487.38,48,Monthly,C,11.98
6532.5,60,Monthly,F,13.36
2553.8,60,Quarterly,A,15.68
4330.1,36,Quarterly,D,23.26
10000,60,Quarterly,C,12.19
3450,24,Quarterly,G,24.72
1231.5,60,Quarterly,B,22.56
865,36,Monthly,E,19.86
2637.5,36,Quarterly,E,22.85
15000,60,Quarterly,D,16.82
1554.79,12,Monthly,G,18.71
1605.3,48,Monthly,G,29.41
3290,60,Monthly,KO,16.94
10818.12,36,Monthly,D,7.46
1250,24,Monthly,KO,24.45
2186.07,60,Monthly,E,18.03
2500,36,Quarterly,D,20.96
